Title,Smiles,SP_Gscore,XP_Gscore,BPMD_CompScore,IC 50(uM),note
E984-3303,Cc(cc1)ccc1-c1nn(CCC(N2CC(NCCc3c[nH]c4c3cccc4)=O)=O)c2c1,-9.95934,-11.379,0.226,/,
D451-1559,CC(C)N(CC(c(cccc1)c1N1)=CC1=O)C(Nc(cccc1)c1F)=O,-10.2158,-12.468,0.313,/,
G731-0461,CC(CCc1ccccc1)NC(CSc1nnc(-c(cc2)ccc2F)[nH]1)=O,-10.3141,-11.6694,0.418,/,
S993-0452,Cc1cccnc1C(N(CCC1C(N(Cc2cccc(F)c2)C2)=O)CCN1C2=O)=O,-8.38874,-8.75121,0.453,/,
C867-0161,Cc1cccc(NC(CN(c(cccc2)c2S(C(C2)c3ccccc3)(=O)=O)C2=O)=O)c1,-7.8563,-11.7573,0.464,/,
F365-0029,CCCN(C(N1c2c3cccc2)=NN(CC(Nc2cccc(F)c2)=O)C1=O)C3=O,-10.4136,-11.6998,0.522,/,
L409-0393,O=C(C(Cc1ccccc1)NC(Nc(cc1)ccc1Cl)=O)N(CC1)c2c1cccc2,-10.0681,-11.0656,-1.453,1.29¡À0.26,MQ-1
8017-5333,CCOC(CC(c(cccc1)c1Cl)NC(C1=CC(C(CCC2)=O)=C2N(c2ccccc2)C1=O)=O)=O,-11.1062,-11.3725,0.536,/,
2130-0130,O=C(C(C(c1c2cccc1)=NNC2=O)NC(c1ccccc1)=O)N/N=C/c(ccc(Cl)c1)c1Cl,-9.07873,-9.39576,0.545,/,
G856-0840,O=C(CSC(N(c1ccccc1)C1=O)=Nc2c1[nH]c1c2cccc1)Nc1cc(F)ccc1,-11.08,-11.3349,0.565,/,
E646-3511,CC(CN(CC1=O)S(c2ccccc2)(=O)=O)(C(NCc(cc2)ccc2F)=O)N1c1ccc(C)cc1,-10.8886,-12.2846,0.759,/,
J046-1011,CC(C)C(NC1=CC(c2ccccc2)=NN(CC(Nc2c(C(F)(F)F)cccc2)=O)C1=O)=O,-10.4136,-11.6888,0.837,/,
J026-3231,Cc(cc1C(N2CCCC2)=O)nc(N(c2ccccc2)C(N2Cc(cc3)ccc3F)=O)c1C2=O,-10.6136,-10.595,-0.364,9.52¡À0.73,
E538-0161,CC(C)CCNC(C(C)(Cn(c(cc1)c2cc1F)c1c2NC(C)=O)N(Cc(cc2)ccc2F)C1=O)=O,-7.92558,-10.6415,-2.021,0.891¡À0.05,MQ-2
Y020-5605,CC(OC(C(NN(C(c(cc1)ccc1OC)=Nc1c2cccc1)C2=O)=O)c1ccccc1)=O,-8.11123,-10.6866,1.159,/,
J046-0018,CC(NC1=CC(c2ccccc2)=NN(CC(Nc2c(C(F)(F)F)cccc2)=O)C1=O)=O,-10.4357,-10.9237,1.266,/,
J026-3227,Cc(cc1C(N2CCCC2)=O)nc(N(c2ccccc2)C(N2Cc3cccc(Cl)c3)=O)c1C2=O,-10.0393,-9.97886,1.287,/,
E545-0210,CC(C)N(C(c(oc1c2cccc1)c2N1CC(Nc2cc(C)cc(C)c2)=O)=O)C1=O,-9.34341,-10.3752,1.311,/,
F795-0208,O=C(CN(c1c(C(N2CC3OCCC3)=O)sc3ncccc13)C2=O)Nc(cc(cc1)F)c1F,-9.89173,-11.6334,1.317,/,
E999-1169,Cc(cc1)nc(N(CC(Nc2cc(F)ccc2)=O)C=C2C(c3cccc(Cl)c3)=O)c1C2=O,-10.4605,-10.5532,-0.528,/,
L409-0474,COC(=O)c1ccc(C)cc1NC(=O)NC(Cc1ccccc1)C(=O)N1CCc2ccccc12,-8.35064,-10.9764,-0.084,1.03¡À0.03,MQ-1a
